"FACILITYTY"	"FACILITYNA"	"ADDRESS"	"JURISDICTI"	"NUMBER"	"QUAD"	"STREET"	"CITY"	"STATE"	"COUNTRY"
"SOFTBALL"	"WEST MESA SOFTBALL"	"6701 FORTUNA NW"	"CITY"	6701	"NW"	"FORTUNA"	"Albuquerque"	"New Mexico"	"USA"
"POOL-YEAR ROUND"	"WEST MESA AQUATIC CENTER"	"6705 FORTUNA NW"	"CITY"	6705	"NW"	"FORTUNA"	"Albuquerque"	"New Mexico"	"USA"
"FIRE"	"LOS RANCHOS FIRE"	"6710 RIO GRANDE BLVD NW"	"COUNTY"	6710	"NW"	"RIO GRANDE"	"Albuquerque"	"New Mexico"	"USA"
"SHERIFF"	"NORTH AREA SHERIFF COMMAND CENTER"	"6900 4TH ST NW"	"COUNTY"	6900	"NW"	"4TH"	"Albuquerque"	"New Mexico"	"USA"
"MULTI-SERVICE CENTER"	"ALAMOSA MULTI-SERVICE CENTER"	"6900 GONZALES RD SW"	"CITY"	6900	"SW"	"GONZALES"	"Albuquerque"	"New Mexico"	"USA"
"BASKETBALL"	"CLEVELAND BASKETBALL"	"6910 NATALIE ST NE"	"CITY"	6910	"NE"	"NATALIE"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"FOX MEMORIAL TENNIS"	"700 ALVARADO DR NE"	"CITY"	700	"NE"	"ALVARADO"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"ARROYO DEL OSO TENNIS"	"7001 OSUNA RD NE"	"CITY"	7001	"NE"	"OSUNA"	"Albuquerque"	"New Mexico"	"USA"
"BASKETBALL"	"JEFFERSON BASKETBALL"	"712 GIRARD BLVD NE"	"CITY"	712	"NE"	"GIRARD"	"Albuquerque"	"New Mexico"	"USA"
"SENIOR CENTER"	"BARELAS SENIOR CENTER"	"714 7TH ST SW"	"CITY"	714	"SW"	"7TH"	"Albuquerque"	"New Mexico"	"USA"
"COMMUNITY CENTER"	"DENNIS CHAVEZ COMM CTR/ PARK"	"715 KATHRYN SE"	"CITY"	715	"SE"	"KATHRYN"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"JERRY CLINE TENNIS"	"7205 CONSTITUTION AV NE"	"CITY"	7205	"NE"	"CONSTITUTION"	"Albuquerque"	"New Mexico"	"USA"
"BASKETBALL"	"KENNEDY BASKETBALL"	"721 TOMASITA NE"	"CITY"	721	"NE"	"TOMASITA "	"Albuquerque"	"New Mexico"	"USA"
"FIRE"	"FIRE STATION 1"	"724 SILVER SW"	"CITY"	724	"SW"	"SILVER"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"STARDUST SKIES TENNIS"	"7401 BELLROSE AV NE"	"CITY"	740	"NE"	"BELLROSE"	"Albuquerque"	"New Mexico"	"USA"
"COMMUNITY CENTER"	"CESAR CHAVEZ COMMUNITY CENTER"	"7505 KATHRYN AV SE"	"CITY"	7505	"SE"	"KATHRYN"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"LOMA DEL NORTE TENNIS"	"7511 BURKE ST NE"	"CITY"	7511	"NE"	"BURKE"	"Albuquerque"	"New Mexico"	"USA"
"POLICE"	"LA CUEVA MINI SUB"	"7520 CORONA NE"	"CITY"	7520	"NE"	"CORONA"	"Albuquerque"	"New Mexico"	"USA"
"MULTI-SERVICE CENTER"	"EAST CENTRAL MULTI-CENTER"	"7525 ZUNI RD SE"	"CITY"	7525	"SE"	"ZUNI"	"Albuquerque"	"New Mexico"	"USA"
"LIBRARY"	"NORTH VALLEY"	"7704 2ND ST NW"	"CITY"	7704	"NW"	"2ND"	"Albuquerque"	"New Mexico"	"USA"
"POOL-YEAR ROUND"	"SANDIA POOL"	"7801 CANDELARIA NE"	"CITY"	7801	"NE"	"CANDELARIA"	"Albuquerque"	"New Mexico"	"USA"
"COMMUNITY CENTER"	"MESA VERDE COMM CTR / PARK"	"7900 MARQUETTE AV NE"	"CITY"	7900	"NE"	"MARQUETTE"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"MESA VERDE TENNIS"	"7900 MARQUETTE AV NE"	"CITY"	7900	"NE"	"MARQUETTE"	"Albuquerque"	"New Mexico"	"USA"
"POLICE"	"PHIL CHACON MEMORIAL SUBSTATION"	"800 LOUISIANA SE"	"CITY"	800	"SE"	"LOUISIANA"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"BARELAS TENNIS"	"801 BARELAS ST SW"	"CITY"	801	"SW"	"BARELAS"	"Albuquerque"	"New Mexico"	"USA"
"COMMUNITY CENTER"	"BARELAS COMMUNITY CENTER/PARK"	"801 BARELAS SW"	"CITY"	801	"SW"	"BARELAS"	"Albuquerque"	"New Mexico"	"USA"
"SOFTBALL"	"ODELIA POND SOFTBALL"	"805 LOCUST PL NE"	"CITY"	805	"NE"	"LOCUST"	"Albuquerque"	"New Mexico"	"USA"
"POLICE"	"JOHN CARRILLO MEMORIAL SUBSTATION"	"8201 OSUNA NE"	"CITY"	8201	"NE"	"OSUNA"	"Albuquerque"	"New Mexico"	"USA"
"LIBRARY"	"WYOMING"	"8205 APACHE AV NE"	"CITY"	8205	"NE"	"APACHE"	"Albuquerque"	"New Mexico"	"USA"
"SOFTBALL"	"HEIGHTS SOFTBALL"	"823 BUENA VISTA NE"	"CITY"	823	"NE"	"BUENA VISTA"	"Albuquerque"	"New Mexico"	"USA"
"COMMUNITY CENTER"	"HEIGHTS COMM CTR / PARK"	"823 BUENA VISTA SE"	"CITY"	823	"SE"	"BUENA VISTA"	"Albuquerque"	"New Mexico"	"USA"
"TENNIS"	"SUNRISE TERRACE TENNIS"	"850 102ND ST SW"	"CITY"	850	"SW"	"102ND"	"Albuquerque"	"New Mexico"	"USA"
"OPERATIONS"	"EASTSIDE ANIMAL CONTROL"	"8920 LOMAS BLVD NE"	"CITY"	8920	"NE"	"LOMAS"	"Albuquerque"	"New Mexico"	"USA"
"OPERATIONS"	"SWEEPER SATELLITE STATION #1"	"8920 LOMAS BLVD NE"	"CITY"	8920	"NE"	"LOMAS"	"Albuquerque"	"New Mexico"	"USA"
"LIBRARY"	"ERNIE PYLE"	"900 GIRARD SE"	"CITY"	900	"SE"	"GIRARD"	"Albuquerque"	"New Mexico"	"USA"
"CULTURAL"	"EXPO NEW MEXICO"	"900 SAN PEDRO DR NE"	"STATE"	900	"NE"	"SAN PEDRO"	"Albuquerque"	"New Mexico"	"USA"
"CULTURAL"	"RIO GRANDE ZOO"	"903 10TH ST SW"	"CITY"	903	"SW"	"10TH"	"Albuquerque"	"New Mexico"	"USA"
"LIBRARY"	"LOMAS-TRAMWAY"	"908 EASTRIDGE NE"	"CITY"	908	"NE"	"EASTRIDGE"	"Albuquerque"	"New Mexico"	"USA"
"SOFTBALL"	"TINGLEY SOFTBALL"	"913 ATLANTIC AV SW"	"CITY"	913	"SW"	"ATLANTIC"	"Albuquerque"	"New Mexico"	"USA"
"MUSEUM"	"ABQ INTERNATIONAL BALLOON MUSEUM"	"9201 BALLOON MUSEUM DR NE"	"CITY"	9201	"NE"	"BALLOON MUSEUM"	"Albuquerque"	"New Mexico"	"USA"
"COMMUNITY CENTER"	"SNOW PARK SHELTER CENTER"	"9501 INDIAN SCHOOL NE"	"CITY"	9501	"NE"	"INDIAN SCHOOL"	"Albuquerque"	"New Mexico"	"USA"
"SOLID WASTE"	"MONTESSA PARK CONVENIENCE CENTER"	"9512 LOS PICAROS RD SE"	"CITY"	9512	"SE"	"LOS PICAROS"	"Albuquerque"	"New Mexico"	"USA"
"FIRE"	"FIRE STATION 9"	"9601 MENAUL NE"	"CITY"	9601	"NE"	"MENAUL"	"Albuquerque"	"New Mexico"	"USA"
"COMMUNITY CENTER"	"ALAMEDA COMMUNITY CENTER"	"9800 4TH ST NW"	"COUNTY"	9800	"NW"	"4TH"	"Albuquerque"	"New Mexico"	"USA"
"POOL-SUMMER"	"ALAMEDA POOL"	"9800 4TH ST NW"	"COUNTY"	9800	"NW"	"4TH"	"Albuquerque"	"New Mexico"	"USA"
"OPERATIONS"	"ABQ ARROYO MAINTENANCE"	"9805 CENTRAL AV NE"	"CITY"	9805	"NE"	"CENTRAL"	"Albuquerque"	"New Mexico"	"USA"
"FIRE"	"FIRE STATION 1"	"9819 2ND ST NW"	"COUNTY"	9819	"NW"	"2ND"	"Albuquerque"	"New Mexico"	"USA"
